"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","SHPRICE","TOT","IDX2015","Q","2018-Q3",115.3405,
"DNK","SHPRICE","TOT","IDX2015","Q","2018-Q4",105.3056,
"DNK","SHPRICE","TOT","IDX2015","Q","2019-Q1",109.8985,
"DNK","SHPRICE","TOT","IDX2015","Q","2019-Q2",114.5383,
"DNK","SHPRICE","TOT","IDX2015","Q","2019-Q3",116.0252,
"DNK","SHPRICE","TOT","IDX2015","Q","2019-Q4",121.7124,
"DNK","SHPRICE","TOT","IDX2015","Q","2020-Q1",126.0763,
"DNK","SHPRICE","TOT","IDX2015","Q","2020-Q2",128.0636,
"DNK","SHPRICE","TOT","IDX2015","Q","2020-Q3",142.9045,
"DNK","SHPRICE","TOT","IDX2015","Q","2020-Q4",154.8002,
"DNK","SHPRICE","TOT","IDX2015","Q","2021-Q1",163.4964,
"DNK","SHPRICE","TOT","IDX2015","Q","2021-Q2",174.5673,
"DNK","SHPRICE","TOT","IDX2015","Q","2021-Q3",193.4537,
"DNK","SHPRICE","TOT","IDX2015","Q","2021-Q4",195.2621,
"DNK","SHPRICE","TOT","IDX2015","Q","2022-Q1",182.9853,
"FIN","SHPRICE","TOT","IDX2015","Q","2016-Q4",100.6996,
"FIN","SHPRICE","TOT","IDX2015","Q","2017-Q1",106.0368,
"FIN","SHPRICE","TOT","IDX2015","Q","2017-Q2",112.6739,
"FIN","SHPRICE","TOT","IDX2015","Q","2017-Q3",112.8897,
"FIN","SHPRICE","TOT","IDX2015","Q","2017-Q4",113.2599,
"FIN","SHPRICE","TOT","IDX2015","Q","2018-Q1",114.9593,
"FIN","SHPRICE","TOT","IDX2015","Q","2018-Q2",117.6705,
"FIN","SHPRICE","TOT","IDX2015","Q","2018-Q3",119.1564,
"FIN","SHPRICE","TOT","IDX2015","Q","2018-Q4",108.4174,
"FIN","SHPRICE","TOT","IDX2015","Q","2019-Q1",112.4998,
"FIN","SHPRICE","TOT","IDX2015","Q","2019-Q2",110.7731,
"FIN","SHPRICE","TOT","IDX2015","Q","2019-Q3",109.0135,
"FIN","SHPRICE","TOT","IDX2015","Q","2019-Q4",112.6485,
"FIN","SHPRICE","TOT","IDX2015","Q","2020-Q1",111.4964,
"FIN","SHPRICE","TOT","IDX2015","Q","2020-Q2",102.5357,
"FIN","SHPRICE","TOT","IDX2015","Q","2020-Q3",115.1343,
"FIN","SHPRICE","TOT","IDX2015","Q","2020-Q4",123.0307,
"FIN","SHPRICE","TOT","IDX2015","Q","2021-Q1",133.3285,
"FIN","SHPRICE","TOT","IDX2015","Q","2021-Q2",142.2299,
"FIN","SHPRICE","TOT","IDX2015","Q","2021-Q3",152.8097,
"FIN","SHPRICE","TOT","IDX2015","Q","2021-Q4",148.9248,
"FIN","SHPRICE","TOT","IDX2015","Q","2022-Q1",139.0127,
"FRA","SHPRICE","TOT","IDX2015","Q","2016-Q4",95.81221,
"FRA","SHPRICE","TOT","IDX2015","Q","2017-Q1",102.637,
"FRA","SHPRICE","TOT","IDX2015","Q","2017-Q2",110.3261,
"FRA","SHPRICE","TOT","IDX2015","Q","2017-Q3",109.2354,
"FRA","SHPRICE","TOT","IDX2015","Q","2017-Q4",113.573,
"FRA","SHPRICE","TOT","IDX2015","Q","2018-Q1",112.5786,
"FRA","SHPRICE","TOT","IDX2015","Q","2018-Q2",114.8468,
"FRA","SHPRICE","TOT","IDX2015","Q","2018-Q3",114.5222,
"FRA","SHPRICE","TOT","IDX2015","Q","2018-Q4",105.1777,
"FRA","SHPRICE","TOT","IDX2015","Q","2019-Q1",106.4145,
"FRA","SHPRICE","TOT","IDX2015","Q","2019-Q2",113.229,
"FRA","SHPRICE","TOT","IDX2015","Q","2019-Q3",114.589,
"FRA","SHPRICE","TOT","IDX2015","Q","2019-Q4",120.5176,
"FRA","SHPRICE","TOT","IDX2015","Q","2020-Q1",113.5848,
"FRA","SHPRICE","TOT","IDX2015","Q","2020-Q2",96.17435,
"FRA","SHPRICE","TOT","IDX2015","Q","2020-Q3",103.3739,
"FRA","SHPRICE","TOT","IDX2015","Q","2020-Q4",109.3986,
"FRA","SHPRICE","TOT","IDX2015","Q","2021-Q1",120.086,
"FRA","SHPRICE","TOT","IDX2015","Q","2021-Q2",132.126,
"FRA","SHPRICE","TOT","IDX2015","Q","2021-Q3",136.9714,
